Wall time,Step,Value
1573533899.3171115,537,-1.0
1573533904.2635536,543,-1.0
1573533908.5306828,548,-1.0
1573533914.6762679,558,-1.0
1573533919.1034863,564,-1.0
1573533923.574793,570,-1.0
1573533925.4628181,574,-1.0
1573533927.416998,580,-1.0
1573533928.5635202,582,-1.0
1573533932.4017692,585,-1.0
1573533933.788362,587,1.0
1573533933.9881227,588,0.0
1573533936.2018497,593,-1.0
1573533936.2643783,594,-1.0
1573533944.466539,603,-1.0
1573533948.8409407,611,-1.0
1573533951.052283,616,-1.0
1573533954.6355717,621,-1.0
1573533955.3925102,623,-1.0
1573533963.1586323,635,-1.0
1573533968.636222,642,-1.0
1573533970.2290194,643,-1.0
1573533970.792115,645,-1.0
1573533972.4360383,647,-1.0
1573533973.601997,648,-1.0
1573533974.424464,650,-1.0
1573533981.720297,662,-1.0
1573533983.3543646,665,-1.0
1573533985.5070984,669,-1.0
1573533985.929986,672,-1.0
1573533987.1404264,675,-1.0
1573533989.2303073,679,-1.0
1573533989.524854,680,-1.0
1573533992.2892053,684,-1.0
1573533994.0092876,689,-1.0
1573533998.0115821,700,-1.0
1573534001.0788374,707,-1.0
1573534006.9429111,715,-1.0
1573534008.7730925,719,-1.0
1573534010.2827423,722,-1.0
1573534010.3513286,723,-1.0
1573534010.834888,724,0.0
1573534015.4032993,731,-1.0
1573534017.7159514,737,1.0
1573534019.0058265,739,-1.0
1573534019.2767043,740,-1.0
1573534021.451166,744,-1.0
1573534023.2895255,748,-1.0
1573534026.4854126,752,-1.0
1573534026.8415322,753,-1.0
1573534029.121848,757,-1.0
1573534033.018169,766,-1.0
1573534034.5059896,770,1.0
1573534034.9240327,771,0.0
1573534036.3324642,772,-1.0
1573534038.594053,774,-1.0
1573534038.916329,775,-1.0
1573534042.9549599,781,-1.0
1573534046.3557296,785,-1.0
1573534046.7005866,786,-1.0
1573534048.0759428,788,-1.0
1573534049.2861712,790,-1.0
1573534049.9766238,793,-1.0
1573534051.357353,794,-1.0
1573534052.0129309,795,-1.0
1573534055.746282,799,-1.0
1573534059.8768528,803,-1.0
1573534064.2260604,808,-1.0
1573534064.8752666,809,-1.0
1573534065.9345133,810,0.0
1573534080.2006836,833,-1.0
1573534082.4513493,837,0.0
1573534083.7716634,839,1.0
1573534086.5129783,844,-1.0
1573534103.8255155,868,-1.0
1573534105.4888852,870,0.0
1573534108.2876008,875,-1.0
1573534109.6382127,877,-1.0
1573534111.626307,881,-1.0
1573534112.5378165,883,-1.0
1573534117.9433455,891,-1.0
1573534120.3085432,897,-1.0
1573534122.8002357,901,-1.0
1573534127.1166568,908,-1.0
1573534129.240991,910,-1.0
1573534131.8483036,916,-1.0
1573534133.2754245,918,1.0
1573534135.1341665,921,-1.0
1573534136.5199358,924,-1.0
1573534140.2393212,932,-1.0
1573534140.7224765,933,0.0
1573534141.9937367,936,-1.0
1573534143.7259,943,-1.0
1573534145.6520455,946,-1.0
1573534147.9977276,955,-1.0
1573534151.0605817,959,-1.0
1573534151.5021698,962,-1.0
1573534152.7226124,963,-1.0
1573534157.0017178,972,-1.0
1573534157.3196075,973,-1.0
1573534158.695343,977,-1.0
1573534160.346378,979,-1.0
1573534160.4447913,980,-1.0
1573534162.2753124,984,-1.0
1573534163.4936643,985,-1.0
1573534164.1371212,988,-1.0
1573534164.253134,989,-1.0
1573534168.8980496,997,-1.0
1573534169.6741195,1001,-1.0
1573534171.4550312,1003,-1.0
1573534173.45931,1005,-1.0
1573534173.635269,1006,-1.0
1573534177.4209602,1015,-1.0
1573534179.8829591,1018,0.0
1573534185.8266237,1026,-1.0
1573534186.7001011,1028,-1.0
1573534190.5268433,1033,0.0
1573534193.2534497,1038,-1.0
1573534197.9954507,1045,-1.0
1573534202.3882868,1058,-1.0
1573534204.990064,1064,-1.0
1573534205.8358476,1067,-1.0
1573534207.000883,1069,-1.0
1573534209.0851824,1073,-1.0
1573534211.0045428,1077,-1.0
1573534212.573372,1079,-1.0
1573534217.0696793,1084,-1.0
1573534217.3236349,1085,-1.0
1573534223.1153061,1094,1.0
1573534227.0386398,1100,-1.0
1573534229.1505952,1104,-1.0
1573534230.99842,1105,-1.0
1573534237.6830926,1115,-1.0
1573534241.525518,1120,-1.0
1573534249.2968104,1134,1.0
1573534250.128017,1136,-1.0
1573534260.836892,1156,-1.0
1573534260.9240644,1157,1.0
1573534263.3842146,1161,-1.0
1573534264.174382,1162,-1.0
1573534264.2125192,1163,1.0
1573534275.189459,1181,-1.0
1573534277.2331235,1186,-1.0
1573534282.4745715,1193,-1.0
1573534282.7135015,1194,-1.0
1573534285.8131938,1200,-1.0
1573534286.3296337,1202,-1.0
1573534289.9539218,1207,-1.0
1573534291.3999994,1209,-1.0
1573534307.9117298,1233,-1.0
1573534308.464693,1235,-1.0
1573534309.709304,1237,-1.0
1573534316.1005442,1245,-1.0
1573534316.5458806,1248,-1.0
1573534319.9450498,1256,-1.0
1573534322.2697093,1259,-1.0
1573534324.188877,1262,-1.0
1573534333.2930732,1275,-1.0
1573534337.6128888,1282,-1.0
1573534342.0461419,1288,-1.0
1573534345.4006324,1294,1.0
